id,schema,bodyText,fileName,mimeType
22143.6d5ee6b67490bea564ff96aeffacc3e376c30371,Image,"Possible Vietim Loss.

 

 

 

 

 

 

‘Canin Pat Dont
(50) 2383326)",884.png,image/png
22149.334ebba7e4eabc7395657865cc2495744fbdd75b,Image,459 Suspect ID needed,890.png,image/png
22154.5b7afc546598ea48e69cb23e4b66e60a1bcdeb29,Image,"Robbery, Strongarm, near BART Stations

Soa maaemOn ee 1D haber B aoe

 

 

 

 

   

 

 

 

 

 

 

Fremont Pot Doparent
Otten 8. Loughory (Email Bloughary@temont",895.png,image/png
22166.a5d7868c866f3e7aa944b595e1e864ceb4c9d539,Image,"TOE RSSSTF
wouyoded olay Somuelg wes

 

 

|

 

 

 

 

seuemw0 41s soe eoeuvon mo sewerewnoe oe
yoodsng Od 112/ OND 1580b",907.png,image/png
22172.d4567227fe07859bcdb2be9035ac5a61aac497a6,Image,"NOOGESCAPEE

 

 

 

 

 

 

 

 

Nevada Dapt OF Caocsone Aarin TFA

Day Contac (775)667-5284 tor Hows (775).759-1111",912.png,image/png
22173.67e114d318ad475dbd6f74826335075fa2a6ba8a,Image,"TEleven Armed Robbery Suspect

 

 

 

 

 

 

 

 

“Hiareda County Share Ofc Stool Cives Une
Dot Montigue (510) 725-2876",916.png,image/png
22176.cf8cb1940dd97a21d1195dc7b2e31e3f5115b2fd,Image,"‘Member of Costco 459 Crew

 

 

 

 

 

 

 

‘Suh San Fanaa Poles
(650) 87-8000",917.png,image/png
22174.7014114826a82553374967ab2af623f6edfc5198,Image,"260-862-015
wun Aveqgoy 1d0q 20110 PUEDE

 

 

 

“pene 9 9482 pac soy oy ans hs |
“cvapea! on veugoon ames vneoad ¥ orp 288, 75 oe pu WVnerog ol stead once
aoGon “APENG EV. ANY (OADD Nad HAN Ov Hate poriac) Veen sue fondue Ue A eA. -|

“sirbovey pun sow gr suse ener fama nay 68M INOINLYD 36N 36VTH}

 

 

“sys sect #0 (01) ¥oe-09 (58 6}
‘apa muca pte funn WON aun desen ose pain enn 95RD. HOM an atte Ol ma
habe ovose ese spUNOG O12 00.9 oeenOeN NID wASOON Nad Bees BOO Howe ae ONIN a

 

‘oa

 

  

sur2091 0580 6021 © 52-90-7102 095

 

 

yadsng ueMeM 11Z Od",915.png,image/png
22193.5afcb4c6791dd98356b7be1081ddb39f37b4293f,Image,"DID I STEAL PREPAID CARDS FROM A STORE NEAR YOU?

 

 

 

Sent: 2014-0627 @ 09.05 cao: 141146, ‘utr: 0821

 

 

 

loaves. Th art manage poco tee subj noha enogezed as han sen pat ween he rk

 

|sarn ne vets Yio atagstutedbatind he ve sa ste worm Gt various reps ect cr nat war st
fsa: hr at aap aun our arte wr crea Thc mveNOT sen toh

|v stove sje) match ary che supec nyu thet ase pase contac he Abany Pelee Deparment
Ikcuseannerr. 008.3891 cou: E1487 .PFx: BUS

JcHAEL MUTOHNSON DOB an66 “COL: O4nmDE02- PFN: BEWSE

 

 

‘Abbany Police Department, Calfomnia
(610) 525-7300 Main Dispatch Phone",931.png,image/png
22209.f1d33943f92240f6bc56ad2dea9328abba9c7c61,Image,"Orie es TOT
wouwedeg oofog Oomny ues

 

 

 

 

 

   

 

 

‘AGOISNO NIOd HOE.",952.png,image/png
22212.718c6bb2f7bf1eff01a6b3cb2fba1bc29b422adc,Image,Verizon 4586 Suspects,953.png,image/png
22214.2bc2104e479a601ce9886290140b269b4c39a1d6,Image,"teen vem tow @ ozone me

 

 

‘zso0dsnS Da 6S¥ GINOA WED,",955.png,image/png
22221.6cf83a1d5afc73baa3b35228f5b750ac761736a3,Image,"ZiT PC In Custody

 

 

aa amane ne Cae na RR a

   

 

 

 

 

 

‘aks Potce Daparinent
(0 “Burglary Unit 10-238-9951",961.png,image/png
22222.bdec5230acd393777720ff7a97b8086027600b96,Image,"TD Thelt Suspect - ID Needed

 

 

  

 

 

 

Pals Ai Police Dapt- Fass Daoaive
16503202559)",963.png,image/png
22226.693b52369d90531ccbf2c8d4b6dd4837df7e3c7e,Image,"‘Officer Safety Stolen Handgun

 

 

 

 

 

 

 

Cte Say
Alameda County Shot Ofc ETS Investigations",970.png,image/png
