source,target,relationship
22143.6d5ee6b67490bea564ff96aeffacc3e376c30371,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22143.6d5ee6b67490bea564ff96aeffacc3e376c30371,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22143.6d5ee6b67490bea564ff96aeffacc3e376c30371,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22143.6d5ee6b67490bea564ff96aeffacc3e376c30371,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22149.334ebba7e4eabc7395657865cc2495744fbdd75b,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22149.334ebba7e4eabc7395657865cc2495744fbdd75b,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22149.334ebba7e4eabc7395657865cc2495744fbdd75b,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22149.334ebba7e4eabc7395657865cc2495744fbdd75b,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22154.5b7afc546598ea48e69cb23e4b66e60a1bcdeb29,BART Stations Soa,mentions company
22154.5b7afc546598ea48e69cb23e4b66e60a1bcdeb29,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22154.5b7afc546598ea48e69cb23e4b66e60a1bcdeb29,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22154.5b7afc546598ea48e69cb23e4b66e60a1bcdeb29,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22154.5b7afc546598ea48e69cb23e4b66e60a1bcdeb29,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22166.a5d7868c866f3e7aa944b595e1e864ceb4c9d539,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22166.a5d7868c866f3e7aa944b595e1e864ceb4c9d539,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22166.a5d7868c866f3e7aa944b595e1e864ceb4c9d539,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22166.a5d7868c866f3e7aa944b595e1e864ceb4c9d539,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22172.d4567227fe07859bcdb2be9035ac5a61aac497a6,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22172.d4567227fe07859bcdb2be9035ac5a61aac497a6,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22172.d4567227fe07859bcdb2be9035ac5a61aac497a6,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22172.d4567227fe07859bcdb2be9035ac5a61aac497a6,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22173.67e114d318ad475dbd6f74826335075fa2a6ba8a,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22173.67e114d318ad475dbd6f74826335075fa2a6ba8a,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22173.67e114d318ad475dbd6f74826335075fa2a6ba8a,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22173.67e114d318ad475dbd6f74826335075fa2a6ba8a,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22176.cf8cb1940dd97a21d1195dc7b2e31e3f5115b2fd,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22176.cf8cb1940dd97a21d1195dc7b2e31e3f5115b2fd,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22176.cf8cb1940dd97a21d1195dc7b2e31e3f5115b2fd,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22176.cf8cb1940dd97a21d1195dc7b2e31e3f5115b2fd,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22174.7014114826a82553374967ab2af623f6edfc5198,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22174.7014114826a82553374967ab2af623f6edfc5198,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22174.7014114826a82553374967ab2af623f6edfc5198,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22174.7014114826a82553374967ab2af623f6edfc5198,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22193.5afcb4c6791dd98356b7be1081ddb39f37b4293f,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22193.5afcb4c6791dd98356b7be1081ddb39f37b4293f,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22193.5afcb4c6791dd98356b7be1081ddb39f37b4293f,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22193.5afcb4c6791dd98356b7be1081ddb39f37b4293f,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22209.f1d33943f92240f6bc56ad2dea9328abba9c7c61,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22209.f1d33943f92240f6bc56ad2dea9328abba9c7c61,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22209.f1d33943f92240f6bc56ad2dea9328abba9c7c61,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22209.f1d33943f92240f6bc56ad2dea9328abba9c7c61,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22212.718c6bb2f7bf1eff01a6b3cb2fba1bc29b422adc,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22212.718c6bb2f7bf1eff01a6b3cb2fba1bc29b422adc,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22212.718c6bb2f7bf1eff01a6b3cb2fba1bc29b422adc,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22212.718c6bb2f7bf1eff01a6b3cb2fba1bc29b422adc,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22214.2bc2104e479a601ce9886290140b269b4c39a1d6,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22214.2bc2104e479a601ce9886290140b269b4c39a1d6,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22214.2bc2104e479a601ce9886290140b269b4c39a1d6,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22214.2bc2104e479a601ce9886290140b269b4c39a1d6,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22221.6cf83a1d5afc73baa3b35228f5b750ac761736a3,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22221.6cf83a1d5afc73baa3b35228f5b750ac761736a3,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22221.6cf83a1d5afc73baa3b35228f5b750ac761736a3,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22221.6cf83a1d5afc73baa3b35228f5b750ac761736a3,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22222.bdec5230acd393777720ff7a97b8086027600b96,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
